key,Name,Level,CongDist,teachers,students,NSLP,free_lunch,reduced_price_lunch,aided_lunch_total,direct_cert_total,latitude,longitude
370003102323,Children's Village Academy,Elementary,3703,7.18,174,NSLPWOPRO,186,0,186,0,35.265662,-77.565081
370003802343,Arapahoe Charter School,Other,3703,35.21,525,NSLPWOPRO,227,64,291,0,35.012253,-76.821202
370005202371,Tiller School,Elementary,3703,16.1,170,NSLPWOPRO,30,0,30,0,34.735259,-76.634586
370010102502,Washington Montessori,Other,3703,34.31,358,NSLPWOPRO,32,0,32,0,35.539819,-76.979612
370039403360,Northeast Academy of Aerospace & AdvTech,Secondary,3703,19.86,351,NSLPWOPRO,38,0,38,0,36.278800000000004,-76.212132
370039603370,Winterville Charter Academy,Elementary,3703,29.64,512,NSLPWOPRO,214,62,276,0,35.552913000000004,-77.367632
370060000246,Camden County High,High,3703,35.89,423,NSLPWOPRO,69,27,96,0,36.327195,-76.171966
370060000247,Camden Middle,Middle,3703,21.77,274,NSLPWOPRO,46,22,68,0,36.361325,-76.174125
370060000248,Grandy Primary,Elementary,3703,33.65,362,NSLPWOPRO,116,53,169,0,36.333329,-76.182468
370060002977,Camden Intermediate,Middle,3703,27.35,468,NSLPWOPRO,84,39,123,0,36.331671,-76.182754
370060003391,Camden Early College High,High,3703,9,170,NSLPWOPRO,22,16,38,0,36.327277,-76.171887
370063000249,Atlantic Elementary,Elementary,3703,9.92,67,NSLPWOPRO,45,12,57,0,34.883128,-76.342431
370063000250,Beaufort Elementary,Elementary,3703,36.99,371,NSLPWOPRO,247,37,284,0,34.730025000000005,-76.64429700000001
370063000251,Beaufort Middle,Middle,3703,21.5,276,NSLPWOPRO,115,22,137,0,34.729683,-76.646861
370063000253,East Carteret High,High,3703,43.1,567,NSLPWOPRO,194,35,229,0,34.781482000000004,-76.631793
370063000254,Harkers Island Elementary,Elementary,3703,6.89,89,NSLPWOPRO,41,8,49,0,34.694057,-76.552041
370063000255,Morehead City Middle,Middle,3703,37.4,503,NSLPWOPRO,166,26,192,0,34.732569,-76.741203
370063000257,Newport Elementary,Elementary,3703,58.2,607,NSLPWOPRO,406,60,466,0,34.790802,-76.85991800000001
370063000258,Down East Middle and Smyrna Elementary,Elementary,3703,23.36,240,NSLPWOPRO,104,18,122,0,34.757789,-76.52856200000001
370063000259,West Carteret High,High,3703,77.53,1262,NSLPWOPRO,389,69,458,0,34.737347,-76.78587
370063000260,White Oak Elementary,Elementary,3703,51.28,684,NSLPWOPRO,183,27,210,0,34.693883,-77.059415
370063001042,Morehead Elem at Camp Glenn,Elementary,3703,22.03,296,NSLPWOPRO,117,12,129,0,34.725331000000004,-76.749454
370063001044,Morehead City Primary,Elementary,3703,44.7,408,NSLPWOPRO,253,28,281,0,34.733777,-76.77771800000001
370063002205,Broad Creek Middle,Middle,3703,41.07,635,NSLPWOPRO,144,34,178,0,34.729749,-76.913808
370063002368,Bogue Sound Elementary,Elementary,3703,36.49,370,NSLPWOPRO,169,44,213,0,34.718734,-76.950757
370063002369,Croatan High,High,3703,56.07,900,NSLPWOPRO,163,35,198,0,34.716121,-76.95034700000001
370063002572,Newport Middle,Middle,3703,30.01,405,NSLPWOPRO,196,31,227,0,34.773744,-76.86158900000001
370063003317,Bridges School,Other,3703,8,28,NSLPWOPRO,17,2,19,0,34.738530000000004,-76.789486
