key,name,teachers,students,type,LEVEL,NSLP,free_lunch,reduced_price_lunch,aided_lunch_total,direct_cert_total,GSLO,GSHI,PreK,K,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,Adult,UNG,NS,magnet,CHARTER,VIRTUAL,MZIP,MZIP4,PHONE,WEBSITE,CD,state,latitude,longitude,Elevation_m,Source
370003102323,Children's Village Academy,7.18,174,Regular School,Elementary,NSLPWOPRO,186,0,186,0,KG,08,0,15,22,17,22,26,17,32,15,23,0,0,0,0,0,0,0,No,Yes,NOTVIRTUAL,28502,2206,(252)939-1958,http://www.cvatigers.com/,3703,NC,35.265662,-77.565081,11.77,3DEP 1/3 arc-second
370003802343,Arapahoe Charter School,35.21,525,Regular School,Other,NSLPWOPRO,227,64,291,0,KG,12,0,41,42,44,52,50,51,49,49,47,41,27,38,35,0,0,0,No,Yes,NOTVIRTUAL,28510,,(252)249-2599,http://www.arapahoecharter.org,3703,NC,35.012253,-76.821202,12.06,3DEP 1/3 arc-second
370005202371,Tiller School,16.1,170,Regular School,Elementary,NSLPWOPRO,30,0,30,0,KG,05,0,36,37,36,33,32,32,0,0,0,0,0,0,0,0,0,0,No,Yes,NOTVIRTUAL,28516,,(252)728-1995,http://www.tillerschool.org,3703,NC,34.735259,-76.634586,3.13,3DEP 1/3 arc-second
370010102502,Washington Montessori,34.31,358,Regular School,Other,NSLPWOPRO,32,0,32,0,KG,12,0,50,43,43,36,41,40,29,41,25,20,17,20,3,0,0,0,No,Yes,NOTVIRTUAL,27889,,(252)946-1977,http://wmpcs.org,3703,NC,35.539819,-76.979612,8.39,3DEP 1/3 arc-second
370039403360,Northeast Academy of Aerospace & AdvTech,19.86,351,Regular School,Secondary,NSLPWOPRO,38,0,38,0,07,11,0,0,0,0,0,0,0,0,83,82,70,62,54,0,0,0,0,No,Yes,NOTVIRTUAL,27906,,(252)562-0653,http://www.northeastacademy.org/,3703,NC,36.278800000000004,-76.212132,2.74,3DEP 1/3 arc-second
370039603370,Winterville Charter Academy,29.64,512,Regular School,Elementary,NSLPWOPRO,214,62,276,0,KG,07,0,87,85,80,82,78,63,77,47,0,0,0,0,0,0,0,0,No,Yes,NOTVIRTUAL,28590,,(252)689-6153,http://www.nhaschools.com/schools/winterville/en/pages/default.aspx,3703,NC,35.552913000000004,-77.367632,18.06,3DEP 1/3 arc-second
370060000246,Camden County High,35.89,423,Regular School,High,NSLPWOPRO,69,27,96,0,09,12,0,0,0,0,0,0,0,0,0,0,111,106,102,104,0,0,0,No,No,NOTVIRTUAL,27921,9009,(252)338-0114,http://www.camden.k12.nc.us/cchs/index.html,3703,NC,36.327195,-76.171966,2.25,3DEP 1/3 arc-second
370060000247,Camden Middle,21.77,274,Regular School,Middle,NSLPWOPRO,46,22,68,0,07,08,0,0,0,0,0,0,0,0,131,143,0,0,0,0,0,0,0,No,No,NOTVIRTUAL,27921,7615,(252)338-3349,http://www.camden.k12.nc.us/cms/CMSWeb/index.html,3703,NC,36.361325,-76.174125,1.51,3DEP 1/3 arc-second
370060000248,Grandy Primary,33.65,362,Regular School,Elementary,NSLPWOPRO,116,53,169,0,PK,03,47,120,126,117,119,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NOTVIRTUAL,27921,,(252)331-4838,http://www.camden.k12.nc.us/gps/index.htm,3703,NC,36.333329,-76.182468,1.91,3DEP 1/3 arc-second
370060002977,Camden Intermediate,27.35,468,Regular School,Middle,NSLPWOPRO,84,39,123,0,04,06,0,0,0,0,0,148,153,167,0,0,0,0,0,0,0,0,0,No,No,NOTVIRTUAL,27921,,(252)335-7808,,3703,NC,36.331671,-76.182754,2.22,3DEP 1/3 arc-second
