key,latitude,longitude,Elevation,Source
370003102323,33.970797,-118.382728,11.77,3DEP 1/3 arc-second
370003802343,33.970797,-118.382728,12.06,3DEP 1/3 arc-second
370005202371,33.970797,-118.382728,3.13,3DEP 1/3 arc-second
370010102502,33.970797,-118.382728,8.39,3DEP 1/3 arc-second
370039403360,33.970797,-118.382728,2.74,3DEP 1/3 arc-second
370039603370,33.970797,-118.382728,18.06,3DEP 1/3 arc-second
370060000246,33.970797,-118.382728,2.25,3DEP 1/3 arc-second
370060000247,33.970797,-118.382728,1.51,3DEP 1/3 arc-second
370060000248,33.970797,-118.382728,1.91,3DEP 1/3 arc-second
370060002977,33.970797,-118.382728,2.22,3DEP 1/3 arc-second
370060003391,33.970797,-118.382728,2.31,3DEP 1/3 arc-second
370063000249,33.970797,-118.382728,5.22,3DEP 1/3 arc-second
370063000250,33.970797,-118.382728,3.32,3DEP 1/3 arc-second
370063000251,33.970797,-118.382728,3.63,3DEP 1/3 arc-second
370063000253,33.970797,-118.382728,1.63,3DEP 1/3 arc-second
370063000254,33.970797,-118.382728,2.3,3DEP 1/3 arc-second
370063000255,33.970797,-118.382728,3.42,3DEP 1/3 arc-second
370063000257,33.970797,-118.382728,8.01,3DEP 1/3 arc-second
370063000258,33.970797,-118.382728,1.98,3DEP 1/3 arc-second
370063000259,33.970797,-118.382728,6.81,3DEP 1/3 arc-second
370063000260,33.970797,-118.382728,4.63,3DEP 1/3 arc-second
370063001042,33.970797,-118.382728,6.72,3DEP 1/3 arc-second
370063001044,33.970797,-118.382728,5.43,3DEP 1/3 arc-second
370063002205,33.970797,-118.382728,9.35,3DEP 1/3 arc-second
370063002368,33.970797,-118.382728,8.24,3DEP 1/3 arc-second
370063002369,33.970797,-118.382728,7.7,3DEP 1/3 arc-second
370063002572,33.970797,-118.382728,9.42,3DEP 1/3 arc-second
370063003317,33.970797,-118.382728,6.28,3DEP 1/3 arc-second
370063003486,33.970797,-118.382728,5.94,3DEP 1/3 arc-second
370032903264,33.970797,-118.382728,2,3DEP 1/3 arc-second
370033000091,33.970797,-118.382728,3.92,3DEP 1/3 arc-second
370033000098,33.970797,-118.382728,2.92,3DEP 1/3 arc-second
370033001360,33.970797,-118.382728,1.11,3DEP 1/3 arc-second
370033001922,33.970797,-118.382728,8.79,3DEP 1/3 arc-second
370033001923,33.970797,-118.382728,3.48,3DEP 1/3 arc-second
370033001924,33.970797,-118.382728,13.87,3DEP 1/3 arc-second
370033001925,33.970797,-118.382728,13.52,3DEP 1/3 arc-second
370033001926,33.970797,-118.382728,10.72,3DEP 1/3 arc-second
370033002106,33.970797,-118.382728,10.96,3DEP 1/3 arc-second
370033002224,33.970797,-118.382728,3.79,3DEP 1/3 arc-second
370033002503,33.970797,-118.382728,11.19,3DEP 1/3 arc-second
370033002504,33.970797,-118.382728,10.02,3DEP 1/3 arc-second
370033002568,33.970797,-118.382728,3.8,3DEP 1/3 arc-second
370033003011,33.970797,-118.382728,8.34,3DEP 1/3 arc-second
370034803278,33.970797,-118.382728,4.64,3DEP 1/3 arc-second
370084000328,33.970797,-118.382728,11.91,3DEP 1/3 arc-second
370084000330,33.970797,-118.382728,4.75,3DEP 1/3 arc-second
370084000331,33.970797,-118.382728,11.53,3DEP 1/3 arc-second
370108000448,33.970797,-118.382728,2.52,3DEP 1/3 arc-second
370108000449,33.970797,-118.382728,2.2,3DEP 1/3 arc-second
370108000450,33.970797,-118.382728,4.26,3DEP 1/3 arc-second
370108000451,33.970797,-118.382728,2.7,3DEP 1/3 arc-second
370108000452,33.970797,-118.382728,3.17,3DEP 1/3 arc-second
370108000453,33.970797,-118.382728,2.4,3DEP 1/3 arc-second
370108002374,33.970797,-118.382728,2.98,3DEP 1/3 arc-second
370108002627,33.970797,-118.382728,3.51,3DEP 1/3 arc-second
370108003037,33.970797,-118.382728,3.45,3DEP 1/3 arc-second
370108003039,33.970797,-118.382728,2.37,3DEP 1/3 arc-second
370111000454,33.970797,-118.382728,2.29,3DEP 1/3 arc-second
370111000455,33.970797,-118.382728,2.88,3DEP 1/3 arc-second
370111000456,33.970797,-118.382728,3.31,3DEP 1/3 arc-second
370111000457,33.970797,-118.382728,2.76,3DEP 1/3 arc-second
370111002088,33.970797,-118.382728,3.85,3DEP 1/3 arc-second
370111002093,33.970797,-118.382728,1.72,3DEP 1/3 arc-second
370111002107,33.970797,-118.382728,4.08,3DEP 1/3 arc-second
370111002290,33.970797,-118.382728,4.14,3DEP 1/3 arc-second
370111002291,33.970797,-118.382728,4.09,3DEP 1/3 arc-second
370111002724,33.970797,-118.382728,4.51,3DEP 1/3 arc-second
370111002758,33.970797,-118.382728,3.91,3DEP 1/3 arc-second
370084000327,33.970797,-118.382728,8.77,3DEP 1/3 arc-second
370183000750,33.970797,-118.382728,16.94,3DEP 1/3 arc-second
370183000754,33.970797,-118.382728,22.56,3DEP 1/3 arc-second
370183000755,33.970797,-118.382728,34.1,3DEP 1/3 arc-second
370183002294,33.970797,-118.382728,29.64,3DEP 1/3 arc-second
370183002860,33.970797,-118.382728,15.35,3DEP 1/3 arc-second
370183003244,33.970797,-118.382728,29.64,3DEP 1/3 arc-second
370228000979,33.970797,-118.382728,0.83,3DEP 1/3 arc-second
370228002460,33.970797,-118.382728,1.57,3DEP 1/3 arc-second
370228003025,33.970797,-118.382728,1.58,3DEP 1/3 arc-second
370240001033,33.970797,-118.382728,16.83,3DEP 1/3 arc-second
